Model,RMSE,MAE,MAPE,AIC,BIC
MLP,2778.99237652502,2192.265625,0.0289007480494862,,
SN,1591.205261219725,1498.15,0.3037582073447603,,
HW,511.3764506810311,414.7002318042351,0.0859589984939514,999.2517406511716,1038.1448094326645
SA,449.6339354641517,351.84065139013177,0.0732025446831843,1047.2363641963868,1058.5497635815934
univariate_MLP_1,5503.717107555583,3728.422607421875,0.03184232488274574,,
